campaign,year,page,platform,media_type,category_l0,category_l1,category_l2,url,content,cost_nzd,views,hours,engagement
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/729678446160620/,@jacobkneepkens crosses the chalk 🤙,,38409.0,64.3328,682.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/850774540642042/,@nanaiseturo 💨,,235384.0,544.8062,3800.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1120082556960744/,a classic rugby training drill 🏉,,274028.0,712.1043,3261.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1191989952906685/,"a great kick, a great backdrop 🎨",,281319.0,623.9321,4929.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1728500341153571/,a skill and a half 🚀,,438181.0,894.3045,9850.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1360076719079168/,a try to remember in the all blacks xv first ever match 🙌,,1157093.0,4384.1267,27039.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1372390647846191/,afternoon footy in bath. can’t beat it ☀️🏉 next up. uruguay in béziers!,,8343.0,18.3317,318.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1841313670588047/,"all blacks xv 2025 🎞️ london, bath, montpellier ✅",,7123.0,20.8125,278.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/831611312877474/,all blacks xv assemble 🤝 2025 northern tour loading 🛫,,26902.0,46.7075,724.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/3708731682592671/,all blacks xv power sesh 🏋️‍♂️,,102971.0,231.7233,2271.0
Organic | Website,2025,ABXV,FB,Short Video,Social,Live Promo,Sky,https://www.facebook.com/reel/828851096772888/,"all blacks xv v england a | 1:15pm gmt, 2:15am nzt 👊🏼 📺 watch on @skysportnz",,8583.0,15.3669,225.0
Organic | Website,2025,ABXV,FB,Short Video,Social,Live Promo,Sky,https://www.facebook.com/reel/25357545997196368/,all eyes on saturday 👊🏼 all blacks xv v england a | sat 2:15pm gmt | sun 1:15am nzt 📺 live on @skysportnz,,6318.0,11.9251,242.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/25642486792001971/,arrived at the rec 🏟️,,8660.0,11.166,280.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/639736912439777/,"big welcome to luke jacobson and sevu reece, joining the all blacks xv team for our match against england a this weekend 🤝 good to have you here lads 🖤",,24173.0,31.7163,613.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/2110243966173787/,bonjour montpellier 🇫🇷 the all blacks xv have landed in france for their last game against uruguay in béziers on sunday.,,14531.0,21.0633,352.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/858136197155973/,caleb tangitau with a try at the rec 🙌,,56259.0,131.3655,976.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1184273116965389/,coin toss 🪙 not long till kick off 🤝,,107205.0,310.9072,1001.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1856122898632231/,coin toss 🪙 see you in the pitch @barbarians_fc 🤝,,188163.0,454.125,1725.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1498430798038420/,"congratulations to christian lio-willie, josh beehre & caleb tangitau who have been called into the all blacks as training cover for the week 🖤",,96280.0,269.9118,2970.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/784834451271496/,congratulations to josh beehre who is joining the all blacks in edinburgh this week as training cover. go well brother 🖤,,143085.0,511.2276,2759.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1591666628668979/,darts 🎯,,117525.0,281.5499,2008.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/2255539294857016/,david havili seals the deal in brentford 💥,,446798.0,1259.5291,9702.0
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1157407642641055/,fakatava and jacomb link up 🔗,,222240.0,560.7301,4614.0
