campaign,year,page,platform,media_type,category_l0,category_l1,category_l2,url,content,cost_nzd,views,hours,engagement,description_json,duration_seconds
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/729678446160620/,@jacobkneepkens crosses the chalk 🤙,,38409.0,64.3328,682.0,"{""play_by_play"": ""A male rugby player in a black jersey sprints down the field with the ball while pursued by opponents in yellow and blue. He dives into the in-goal area under a tackle attempt to score a try. He gets up and celebrates with his teammates, who gather to hug and high-five him amidst crowd cheers."", ""content_theme"": [""try"", ""run"", ""celebration""], ""format_access"": [""highlight""], ""people"": [""all blacks""], ""brands"": [""adidas"", ""altrad""], ""event"": [""u20"", ""all blacks""], ""tone"": [""excitement""], ""context"": [""match day""], ""overall_team"": [""men"", ""youth""], ""audio_format"": [""ambient""]}",12.839229024943311
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/850774540642042/,@nanaiseturo 💨,,235384.0,544.8062,3800.0,"{""play_by_play"": ""A male rugby player wearing a black jersey breaks through the defense and runs toward the try line, grounding the ball to score a try. He gets up with the ball and walks back across the field, joined by his teammates who pat him on the back in celebration while the stadium crowd cheers."", ""content_theme"": [""try"", ""run"", ""celebration""], ""format_access"": [""highlight""], ""people"": [""new zealand rugby team""], ""brands"": [""adidas"", ""altrad""], ""event"": [""all blacks"", ""sevens""], ""tone"": [""excitement"", ""pride""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""ambient""]}",14.27922902494331
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1120082556960744/,a classic rugby training drill 🏉,,274028.0,712.1043,3261.0,"{""play_by_play"": ""A group of male rugby players in pink training shirts execute a 3 v 2 rugby drill on a wet, leaf-covered grass pitch under overcast skies. The drill involves three attacking players passing the rugby ball rapidly along the line to outmaneuver two defenders, repeating the scenario across several successive repetitions while shouting instructions and encouraging each other."", ""content_theme"": [""training"", ""rugby_skills""], ""format_access"": [""behind-the-scenes"", ""candid clip""], ""people"": [""undefined""], ""brands"": [""toyota"", ""adidas""], ""event"": [""undefined""], ""tone"": [""lighthearted""], ""context"": [""undefined""], ""overall_team"": [""men""], ""audio_format"": [""ambient"", ""voice""]}",19.644081632653062
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1191989952906685/,"a great kick, a great backdrop 🎨",,281319.0,623.9321,4929.0,"{""play_by_play"": ""A male rugby player runs up and kicks a rugby ball off a tee towards the goalposts. The ball sails high between the posts as he watches it, then walks forward to pick up his kicking tee."", ""content_theme"": [""kick"", ""rugby_skills"", ""training""], ""format_access"": [""candid clip""], ""people"": [""undefined""], ""brands"": [""undefined""], ""event"": [""undefined""], ""tone"": [""lighthearted""], ""context"": [""pre-match""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",15.625215419501133
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1728500341153571/,a skill and a half 🚀,,438181.0,894.3045,9850.0,"{""play_by_play"": ""A male All Black player tracks a high kick coming down, leaps into the air over a contact mat, catches the ball securely mid-air, and lands safely on the pitch."", ""content_theme"": [""rugby_skills"", ""training""], ""format_access"": [""behind-the-scenes""], ""people"": [""all blacks""], ""brands"": [""adidas"", ""altrad"", ""cazoo"", ""toyota""], ""event"": [""all blacks""], ""tone"": [""excitement""], ""context"": [""pre-match""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",13.605215419501134
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1360076719079168/,a try to remember in the all blacks xv first ever match 🙌,,1157093.0,4384.1267,27039.0,"{""play_by_play"": ""Commentary: \""...and go through phases, which they haven't done. Well, target number one was to get that set piece going, they've failed badly in that regard and this is a counter attack now... New Zealand teams tend to inflict damage. To Tupaea, lovely ball inside to McKenzie, and it's taken up by Ruben Love and he's got Stevenson outside him. Stevenson heading for the corner, and he gets his second try! That is ruthless from this New Zealand...\"" New Zealand (All Blacks XV) regain possession near their own try line and launch a quick counter-attack against Ireland. The ball flows through precise passes to Quinn Tupaea, Damian McKenzie, and Ruben Love, before reaching winger Shaun Stevenson on the flank. Stevenson sprints down the sideline, breaks through a defender's tackle, and grounds the ball in the corner for an extraordinary 90-metre team try. His teammates swarm in to celebrate the score."", ""content_theme"": [""try"", ""run"", ""celebration"", ""rugby_skills""], ""format_access"": [""highlight""], ""people"": [""shaun stevenson"", ""ruben love"", ""damian mckenzie"", ""quinn tupaea"", ""all blacks rugby team"", ""ireland rugby team""], ""brands"": [""lipovitan d"", ""altrad"", ""ineos"", ""adidas"", ""vodafone"", ""bank of ireland""], ""event"": [""abxv"", ""all blacks""], ""tone"": [""excitement""], ""context"": [""match day""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""ambient""]}",24.618231292517006
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1372390647846191/,afternoon footy in bath. can’t beat it ☀️🏉 next up. uruguay in béziers!,,8343.0,18.3317,318.0,"{""play_by_play"": ""00:00 - 00:06: A male All Blacks XV player speaks about the crowd atmosphere and energy at the stadium.\n00:06 - 00:14: Another player in an All Blacks XV coat shares his thoughts on the compact stadium design and fan proximity.\n00:15 - 00:23: The first player comments on the team's performance, sticking to the game plan, and scoring a try.\n00:24 - 00:47: A montage displays game highlights including the anthem lineup, running plays, kicks, crowd reactions, tackling, post-match handshakes, and a post-game team circle."", ""content_theme"": [""player story"", ""celebration"", ""kick"", ""tackle""], ""format_access"": [""behind-the-scenes"", ""interview"", ""montage""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""altrad""], ""event"": [""abxv""], ""tone"": [""excitement"", ""pride"", ""lighthearted""], ""context"": [""match day"", ""post-match""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song""]}",49.132222222222225
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/1841313670588047/,"all blacks xv 2025 🎞️ london, bath, montpellier ✅",,7123.0,20.8125,278.0,"{""play_by_play"": ""A montage showcasing the All Blacks XV end-of-year tour, beginning with off-field moments, players traveling, arriving, and grabbing coffee together. The video transitions to changing room camaraderie, team line-ups, and match action highlights featuring runs, tackles, and try celebrations. Interspersed with the action are post-match dressing room handshakes, the performance of the haka, snippet player interviews expressing pride and joy, and candid behind-the-scenes team bonding moments, concluding with a full team photo shoot."", ""content_theme"": [""haka"", ""try"", ""tackle"", ""celebration"", ""run"", ""kick"", ""player story""], ""format_access"": [""montage"", ""behind-the-scenes"", ""highlight"", ""candid clip""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""altrad"", ""toyota""], ""event"": [""abxv""], ""tone"": [""pride"", ""excitement"", ""wholesome"", ""lighthearted""], ""context"": [""tour"", ""match day"", ""travel"", ""changing room"", ""post-match""], ""overall_team"": [""men""], ""audio_format"": [""voice"", ""song"", ""ambient""]}",94.20335600907029
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/831611312877474/,all blacks xv assemble 🤝 2025 northern tour loading 🛫,,26902.0,46.7075,724.0,"{""play_by_play"": ""A montage showcasing All Blacks XV players gathering for team assembly and photoshoot. Players pose in the black team kit featuring Altrad and Adidas branding, greet each other with hugs and handshakes, receive boxes of new Adidas gear, try on footwear, and roll their team luggage out, concluding with the official All Blacks XV logo on screen."", ""content_theme"": [""non rugby related""], ""format_access"": [""behind-the-scenes"", ""montage""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""altrad""], ""event"": [""abxv""], ""tone"": [""wholesome"", ""lighthearted""], ""context"": [""tour""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",19.249342403628116
Organic | Website,2025,ABXV,FB,Short Video,No Hashtag,No Hashtag,No Hashtag,https://www.facebook.com/reel/3708731682592671/,all blacks xv power sesh 🏋️‍♂️,,102971.0,231.7233,2271.0,"{""play_by_play"": ""A gym training session featuring male All Blacks XV rugby players performing various power exercises, including barbell cleans, barbell high pulls, power rows, medicine ball slams, banded bench presses, and box jumps."", ""content_theme"": [""training""], ""format_access"": [""montage"", ""behind-the-scenes""], ""people"": [""all blacks xv""], ""brands"": [""adidas"", ""toyota"", ""altrad"", ""mirafit"", ""hammer strength"", ""gymgear""], ""event"": [""abxv""], ""tone"": [""pride"", ""excitement""], ""context"": [""gym""], ""overall_team"": [""men""], ""audio_format"": [""song""]}",23.63621315192744
